timestamp,user_age_tier,question,confidence_level,safety_filter_triggered,fact_check_result,hallucination_detected,response_discarded
2026-03-23T00:40:37.274573,3,"“Is it dangerous if someone smokes in the car when my child isn’t there?”
“Can my child still be exposed later in the same car?”",LOW,no,pass,no,no
2026-03-23T00:42:19.641130,3,"“Can secondhand smoke affect my child’s brain development or learning?”
“Is there a link between smoke exposure and behavior problems?”",LOW,no,pass,no,no
2026-03-23T00:48:45.138560,3,"“Can secondhand smoke affect my child’s brain development or learning?”
“Is there a link between smoke exposure and behavior problems?”",HIGH,no,pass,no,no
2026-03-23T00:51:07.676567,3,"“How do I handle situations where elders or guests smoke?”
“What if I feel uncomfortable asking people not to smoke?”
“How do I explain this to family without causing conflict?”",MEDIUM,no,skipped_simple_request,no,no
2026-03-23T01:07:23.085522,3,"“What should I do if my child is exposed to smoke at school?”
“Are there laws protecting children from smoke in public places?”
“Can I talk to school staff about this?”",MEDIUM,no,pass,no,no
2026-03-23T01:09:26.102518,3,"“Are e-cigarettes or vapes safer around children?”
“Does cannabis smoke have the same effect on children?”",HIGH,no,pass,no,no
2026-03-23T01:15:31.070921,3,"Should I tell my child’s doctor about smoke exposure?”
“Can doctors test if my child has been exposed?”",HIGH,no,pass,no,no
2026-03-23T01:23:18.341100,3,"“Will quitting smoking really make a difference for my child?”
“What if I can’t quit right away—what can I do in the meantime?”
“How do I stay motivated to keep my child safe?”",HIGH,no,pass,no,no
2026-03-23T01:30:45.001964,3,"“Should I tell my child’s doctor about smoke exposure?”
“Can doctors test if my child has been exposed?”
“Will my child need extra checkups because of this?”",HIGH,no,pass,no,no
2026-03-24T13:11:24.713007,3,How does secondhand smoke affect my child's asthma?,HIGH,no,pass,no,no
2026-03-26T15:37:21.916157,3,"major consequences of SHS among young child and major health risk connected with the smoking exposure?
Give me detailed results",HIGH,no,pass,no,no
2026-03-26T15:41:34.778698,3,"give me response in 3-4 pargraphs, I want detailed response.",MEDIUM,no,pass,no,no
2026-03-26T15:48:34.588796,3,How else can improve the condition for the child ? who is having major health related issue.,MEDIUM,no,pass,no,no
2026-03-26T15:51:18.488396,3,"So, As a parent what should I do",MEDIUM,no,pass,no,no
2026-03-26T15:54:51.932599,3,explain in more simpler and easier language so that 6 year old can understand,MEDIUM,no,skipped_simple_request,no,no
2026-03-26T16:14:07.164789,3,give me all the important details are available in this RAg file,MEDIUM,no,pass,no,no
2026-03-27T10:11:59.978235,3,How does SHS contribute to child development?,HIGH,no,pass,no,no
2026-03-27T10:15:35.423227,3,give another detailed response in 1000 words,MEDIUM,no,pass,no,no
2026-03-27T10:35:02.542633,3,its only 231 words,MEDIUM,no,pass,no,no
2026-03-27T10:38:03.395569,3,What are the common health problems among school-age children? and What is the role of teachers in promoting child health?,MEDIUM,no,pass,no,no
2026-03-30T09:01:40.294346,3,is there any safe level of smoking exposure,MEDIUM,no,pass,no,no
2026-03-30T09:04:11.325212,3,"what about the child is available and someone is smoking near the child ?
What are the major conswquences?",MEDIUM,no,pass,no,no
2026-03-30T09:06:30.381841,3,"the response provided seems incorrect 
I was asking about hte consequences",LOW,no,pass,no,no
2026-04-01T10:42:15.657561,3,"What are the most common health issues affecting children today?
How does nutrition impact a child’s physical and cognitive development?",MEDIUM,no,fail,no,no
2026-04-01T10:59:07.963628,3,What role do vaccinations play in child health?,MEDIUM,no,fail,no,no
2026-04-01T11:01:43.983729,3,How can parents recognize early signs of developmental delays?,MEDIUM,no,fail,no,no
2026-04-16T17:35:43.674500,3,What is secondhand smoke (SHS) and how does it affect children?,HIGH,no,pass,no,no
2026-04-28T15:11:54.745449,3,What do you know about how secondhand smoke affects children’s health?,HIGH,no,pass,no,no
2026-04-28T15:15:28.799505,3,give me in 2 paragraphs in details,MEDIUM,no,skipped_simple_request,no,no
2026-04-28T16:35:26.882779,3,What do you know about how secondhand smoke affects children’s health?,HIGH,no,pass,no,no
2026-04-28T16:39:53.337367,3,How do you think smoking around your child impacts their current health condition?,HIGH,no,pass,no,no
2026-04-28T16:40:24.550625,3,Have you noticed any changes in your child’s symptoms when exposed to smoke?,HIGH,no,pass,no,no
2026-04-28T16:40:59.217868,3,"What health issues does your child currently have (e.g., asthma, allergies, frequent infections)?
How often does your child experience flare-ups or symptoms related to their condition?
Has a healthcare provider ever discussed smoking or air quality with you?",MEDIUM,no,pass,no,no
2026-04-28T16:45:04.187608,3,"What health issues does your child currently have (e.g., asthma, allergies, frequent infections)?
How often does your child experience flare-ups or symptoms related to their condition?
Has a healthcare provider ever discussed smoking or air quality with you?",MEDIUM,no,pass,no,no
2026-04-28T16:45:22.194101,3,"What do you know about how secondhand smoke affects children’s health?
How do you think smoking around your child impacts their current health condition?
Have you noticed any changes in your child’s symptoms when exposed to smoke?",HIGH,no,pass,no,no
2026-04-28T16:48:28.983232,3,Do you or anyone in your household currently smoke?,MEDIUM,no,pass,no,no
2026-04-28T16:48:46.023794,3,"What health issues does your child currently have (e.g., asthma, allergies, frequent infections)?
How often does your child experience flare-ups or symptoms related to their condition?",MEDIUM,no,pass,no,no
2026-04-28T20:51:55.544341,3,effect of SHS to health of child,HIGH,no,pass,no,no
2026-04-28T20:52:25.182000,3,how can I help my child with the smoking exposure,HIGH,no,pass,no,no
2026-04-28T20:53:19.960991,3,how helping child inside the home health condition of the chils,MEDIUM,no,pass,no,no
2026-04-28T20:55:27.685227,3,My child has frequent coughing—could it be due to smoke at home?,HIGH,no,pass,no,no
2026-04-28T20:56:04.473706,3,Can secondhand smoke increase hospital visits for kids?,HIGH,no,pass,no,no
2026-04-28T20:56:31.421120,3,"My child has a weak immune system—how risky is smoke exposure?
Can smoke exposure affect my child’s development?",HIGH,no,pass,no,no
2026-04-28T21:03:15.489012,3,I feel guilty about smoking around my child—what should I do?,MEDIUM,no,pass,no,no
2026-04-28T21:04:04.482635,3,give detailed response in 2-4 paragraphs,MEDIUM,no,skipped_simple_request,no,no
2026-04-28T21:10:36.626490,3,My child has a weak immune system—how risky is smoke exposure?,HIGH,no,pass,no,no
2026-04-28T21:11:05.671541,3,How can quitting smoking improve my child’s health quickly?,HIGH,no,pass,no,no
2026-04-28T21:12:10.275623,3,"give in bullet points what are the  consequences of SHS to childs health 
Also give me 3 long paragrpah in details for each consequences and how to help the hild",HIGH,no,skipped_simple_request,no,no
2026-04-28T21:12:48.891376,3,give me 1000 words,MEDIUM,no,pass,no,no
